year,semester,subjectCode,num_x,time,classroom,capacity,student_count,time_conv,course,random.ID,num_y
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,OsYIRwt9,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,3rlhvJ3f,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,WNIvmyuf,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,Ve2z26jM,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,M6H2Rvon,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,3d9Q2Nhj,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,vsjrrCqj,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,1ttqx9bz,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,ZfRJJH5P,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,6TdjJpQC,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,0h6JY6AE,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,qTaqa44Q,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,DpSYASSv,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,o84qMUtz,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,qMv4eKS9,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,4CCHrBUQ,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,OkIeWMKE,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,rE1AZZzy,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,2hTE2BYS,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,eSmAze2q,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,3vUrU6rb,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,mEUuExOM,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,loN07aC7,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,49B6Ndhp,2
