"random.ID","입학일자","교육과정","등록학기","학년","주야","현학적","학과명","성별","전공1","전공2","부전공","비고","공학인증여부"
"4FX7bDDE",20150301,NA,3,2,"주간","입학","경영경제학부","남","경영학","상담심리학","","연계",""
"6O5IvM1j",20150301,NA,2,1,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","경영학","","연계",""
"9WkOBcND",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","국제지역학","","연계",""
"8r7R9x4K",20150301,NA,3,2,"주간","입학","생명과학부","남","생명과학(66)","","","",""
"VPDAzZv8",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","제품디자인","ICT융합","","연계",""
"4JRiU15A",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"ZJ5iYLbI",20150301,NA,3,2,"주간","입학","경영경제학부","남","경제학","경영학","","복수",""
"NuyynGX2",20150301,NA,3,2,"주간","입학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"ySHIROnd",20150301,NA,2,1,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"K7fZ8Pvi",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","Global Management","","연계",""
"QeTLyjau",20150301,NA,2,1,"주간","일반휴학","글로벌리더십학부","남","","","","",""
"vYms8Pij",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","ICT융합","","연계",""
"CTarX3Am",20150301,NA,1,1,"주간","제적","글로벌리더십학부","남","","","","",""
"e0pUgkiC",20150301,NA,2,1,"주간","군입대휴학","경영경제학부","남","경영학","경제학","","복수",""
"I2e5VJtZ",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(45)","","컴퓨터공학","",""
"gGEFCBZc",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","남","도시환경공학","국제지역학","","연계",""
"P2DBBuEq",20150301,NA,2,1,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"LWRdqhh7",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"ryOBpJZ5",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"bwh0JaB4",20150301,NA,2,1,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"8RQ0q1r1",20150301,NA,3,2,"주간","입학","경영경제학부","남","경제학","경영학","","복수",""
"WSkw7GUo",20150301,NA,3,2,"주간","입학","국제어문학부","여","국제지역학","영어","","복수",""
"9bgNq4Hn",20150301,NA,3,2,"주간","입학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"FMJsjLTR",20150301,NA,2,1,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"KMWQgRXu",20150301,NA,3,2,"주간","입학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"naLbwjwe",20150301,NA,3,2,"주간","입학","전산전자공학부","남","컴퓨터공학","경영학","","연계",""
"z0lRKPPJ",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"1MgDeno1",20150301,NA,3,2,"주간","입학","경영경제학부","남","경제학","한국법","","연계",""
"mH5ZbZdH",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"YxfoEvDz",20150301,NA,3,2,"주간","입학","언론정보문화학부","남","언론정보학","영어","","연계",""
"pBisLFol",20150301,NA,3,2,"주간","입학","언론정보문화학부","여","언론정보학","상담심리학","","연계",""
"CZj08OkU",20150301,NA,3,2,"주간","입학","법학부","여","US and International Law","ICT융합","","연계",""
"QwLJm0cQ",20150301,NA,1,1,"주간","군입대휴학","글로벌리더십학부","남","","","","",""
"Kfmua2MV",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","경제학","","복수",""
"aIMTBl0K",20150301,NA,3,2,"주간","입학","전산전자공학부","여","전자공학심화","","","","공학인증"
"oyWLO2rn",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"yS1dry1M",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","사회복지학","","연계",""
"EzcRlKv5",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","사회복지학","도시환경공학","","연계",""
"8I5ZcuAf",20150301,NA,2,1,"주간","복학","글로벌리더십학부","여","","","","",""
"re09v5a3",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(33)","컴퓨터공학","","연계",""
"jcvVZkCO",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학심화","","","","공학인증"
"CCIZctcE",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"lDKorTZv",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"nWRDOsry",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"y0Qu6PxO",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","한국법","","연계",""
"3hk69gMV",20150301,NA,3,2,"주간","입학","경영경제학부","여","경제학","상담심리학","","연계",""
"MtAKoClH",20150301,NA,3,2,"주간","입학","경영경제학부","여","경제학","상담심리학","","연계",""
"1ffLuYKi",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","경제학","","복수",""
"gekvfn2b",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","남","시각디자인","ICT융합","","연계",""
"gaWU7CAi",20150301,NA,3,2,"주간","입학","국제어문학부","여","영어","US and International Law","","연계",""
"LwzJbShL",20150301,NA,3,2,"주간","입학","생명과학부","남","생명과학(66)","","","",""
"IZu3phjb",20150301,NA,3,2,"주간","입학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"AtJzH5FB",20150301,NA,2,1,"주간","일반휴학","언론정보문화학부","여","공연영상학","시각디자인","","연계",""
"AESgLrGh",20150301,NA,2,1,"주간","일반휴학","국제어문학부","남","국제지역학","경영학","","연계",""
"h70e2DWN",20150301,NA,2,1,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"qUkXBBTB",20150301,NA,3,2,"주간","입학","국제어문학부","여","국제지역학","상담심리학","","연계",""
"OCVv8Tkx",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","사회복지학","상담심리학","","복수",""
"AmTKouj3",20150301,NA,3,2,"주간","입학","국제어문학부","여","국제지역학","사회복지학","","연계",""
"Kz0JcpF0",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","도시환경공학","건설공학","","복수",""
"ZDjKijZq",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"WXe1vWDk",20150301,NA,3,2,"주간","입학","전산전자공학부","남","컴퓨터공학","경영학","","연계",""
"MgbnjjwQ",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","경영학","","연계",""
"gRTQk4wG",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","남","건설공학","도시환경공학","","복수",""
"d3F3UVrU",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","도시환경공학","건설공학","","복수",""
"F0x1jh9s",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","건설공학","도시환경공학","","복수",""
"NcjC670y",20150301,NA,3,2,"주간","입학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"aIV2z1iD",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","경제학","","복수",""
"TI7RWHff",20150301,NA,3,2,"주간","입학","법학부","여","한국법","사회복지학","","연계",""
"V35iyDn3",20150301,NA,3,2,"주간","입학","경영경제학부","여","경제학","ICT융합","","연계",""
"kjy1MQMf",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"jKsSPTia",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","도시환경공학","ICT융합","","연계",""
"7bB92JY0",20150301,NA,1,1,"주간","일반휴학","글로벌리더십학부","남","","","","",""
"x1R8r9Ai",20150301,NA,3,2,"주간","입학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"EYKjutrk",20150301,NA,3,2,"주간","입학","경영경제학부","남","경영학","상담심리학","","연계",""
