학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부
21300229,20130301,140,5,3,주간,복학,언론정보문화학부,여,공연영상학,언론정보학,,복수,
21300230,20130301,140,7,4,주간,입학,국제어문학부,여,국제지역학,경제학,,연계,
21300231,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300232,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(45),,컴퓨터공학,,
21300233,20130301,130,6,3,주간,복학,경영경제학부,여,경영학,ICT융합,,연계,
21300234,20130301,140,6,3,주간,복학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300235,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,상담심리학,,연계,
21300236,20130301,140,4,2,주간,군입대휴학,법학부,남,한국법,사회복지학,,연계,
21300237,20130301,140,7,4,주간,입학,기계제어공학부,여,전자제어공학,기계공학,,복수,
21300238,20130301,140,5,3,주간,일반휴학,언론정보문화학부,여,언론정보학,국제지역학,,연계,
21300239,20130301,140,2,1,주간,군입대휴학,국제어문학부,남,국제지역학,영어,,복수,
21300240,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300241,20130301,140,6,3,주간,일반휴학,경영경제학부,여,경영학,한국법,,연계,
21300242,20130301,140,7,4,주간,입학,공간환경시스템공학부,여,건설공학,도시환경공학,,복수,
21300243,20130301,140,7,4,주간,입학,국제어문학부,남,국제지역학,US and International Law,,연계,
21300244,20130301,140,7,4,주간,입학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300245,20130301,140,7,4,주간,입학,전산전자공학부,여,전자공학,컴퓨터공학,,복수,
21300246,20130301,140,5,3,주간,복학,생명과학부,여,생명과학(66),,,,
21300247,20130301,140,3,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300248,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,상담심리학,,연계,
21300249,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경영학,국제지역학,,연계,
21300250,20130301,140,3,2,주간,군입대휴학,언론정보문화학부,남,공연영상학,언론정보학,,복수,
21300251,20130301,140,3,2,주간,복학,국제어문학부,남,국제지역학,경영학,,연계,
21300252,20130301,140,2,1,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300253,20130301,140,2,1,주간,군입대휴학,법학부,남,한국법,US and International Law,,복수,
21300254,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(33),컴퓨터공학,,연계,
21300255,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,제품디자인,,연계,
21300256,20130301,140,3,2,주간,복학,경영경제학부,남,경제학,국제지역학,,연계,
21300257,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300258,20130301,140,4,2,주간,군입대휴학,국제어문학부,남,영어,Global Entrepreneurship,,연계,
21300259,20130301,140,2,1,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300260,20130301,140,5,3,주간,일반휴학,국제어문학부,여,국제지역학,도시환경공학,,연계,
21300261,20130301,140,4,2,주간,일반휴학,언론정보문화학부,남,공연영상학,언론정보학,,복수,
