년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2016,1,글로벌리더십학부,GEK10061,음악의 이해,1,주간,교양선택,한지은,3,45,Y,HCA 2층,45,"화2,금2",성적만P/F나감,N,1,,,,N,4-2학년25명/1학년20명,,W17,예술
2016,1,글로벌리더십학부,GEK10061,음악의 이해,2,주간,교양선택,한지은,3,45,Y,HCA 2층,46,"화3,금3",성적만P/F나감,N,1,,,,N,4-2학년25명/1학년20명,,W17,예술
2016,1,글로벌리더십학부,GEK10066,공간학입문,1,주간,교양선택,알버트 두순 김외 2명,3,80,Y,NTH 313,75,"화2,금2",일반과목,N,1,,,,N,,,W18,전공기초
2016,1,글로벌리더십학부,GEK10070,생활속의 생명과학,1,주간,교양선택필수,황철원,3,60,Y,NMH 410A,60,"화3,금3",일반과목,N,1,,,,N,,,W29,자연과학
2016,1,글로벌리더십학부,GEK10077,창의적 문제해결 리더십,1,주간,교양선택,김정원,2,30,Y,NTH 213,30,"화6,화7",성적만P/F나감,N,1,,,,N,,,W30,리더십및문제해결
2016,1,글로벌리더십학부,GEK10088,서양의 역사와 문화,1,주간,교양선택필수,남철호,3,60,Y,NMH 404,58,"화4,화5",일반과목,N,1,,,,N,,,W27,인문학
2016,1,글로벌리더십학부,GEK10088,서양의 역사와 문화,2,주간,교양선택필수,남철호,3,60,Y,NMH 404,61,"화6,화7",일반과목,N,1,,,,N,,,W27,인문학
2016,1,글로벌리더십학부,GEK10089,외국인을 위한 한국 언어와 문화,2,주간,교양선택필수,조정수,3,40,Y,NMH 402,17,"금5,금6",일반과목,Y,1,,,,N,"재외, foreign students only",1,W27,인문학
2016,1,글로벌리더십학부,GEK10090,물리학 개론,1,주간,교양선택필수,조현지,3,60,Y,HDH 418B,63,"화3,금3",일반과목,N,1,,,,N,1학년 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10090,물리학 개론,2,주간,교양선택필수,조현지,3,60,Y,HDH 425B,64,"화5,금5",일반과목,N,1,,,,N,1학년 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10093,"문학, 영화, 그리고 역사",1,주간,교양선택필수,류대영,3,40,Y,HDH 425B,37,"화3,금3",일반과목,N,1,,,,N,,,W56,융복합
2016,1,글로벌리더십학부,GEK10095,Calculus 1,2,주간,교양선택필수,이한진,3,80,Y,HDH 318,77,"화3,금3",일반과목,Y,1,,,,N,1학년 우선수강 / 해외학생 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10095,Calculus 1,3,주간,교양선택필수,이한진,3,80,Y,HDH 418B,60,"화6,금6",일반과목,Y,1,,,,N,1학년 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10096,Calculus 2,3,주간,교양선택필수,정상모,3,60,Y,OH 403,78,"화5,금5",일반과목,Y,1,,,,N,1학년 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10098,교회음악 연습,1,주간,교양선택,한지은,2,45,Y,HCA 2층,46,"화5,금5",성적만P/F나감,N,1,,,,N,4-2학년25명/1학년20명,,W17,예술
2016,1,글로벌리더십학부,GEK10098,교회음악 연습,2,주간,교양선택,유진아,2,40,Y,HCA 2층,59,"화6,화7",성적만P/F나감,Y,1,,,,N,16:00~17:40,,W17,예술
2016,1,글로벌리더십학부,GEK20017,학문과신앙1,1,주간,교양선택필수,최용준,3,60,Y,OH 420,24,"화5,금5",일반과목,N,1,,,,N,"75분 수업, 기독교 세계관을 들었을 경우에 한해 수강가능(기독교세계관에 대한 기초지식을 가진자도 수강가능)",,W09,세계관2
2016,1,글로벌리더십학부,GEK20028,인간관계와자기성장,3,주간,교양선택,이영희,3,40,Y,NMH 402,40,"화4,화5",성적만P/F나감,N,1,,,,N,,,W30,리더십및문제해결
2016,1,글로벌리더십학부,GEK20028,인간관계와자기성장,4,주간,교양선택,황인식,3,50,Y,OH 영상정보실,52,"화2,화3",성적만P/F나감,Y,1,,,,N,,,W30,리더십및문제해결
2016,1,글로벌리더십학부,GEK20033,한국기독교의 역사와 문화,1,주간,교양선택필수,류대영,3,60,Y,HDH 425B,50,"화2,금2",일반과목,N,1,,,,N,,,W27,인문학
2016,1,글로벌리더십학부,GEK20042,교육학개론,2,주간,교양선택필수,김경선,3,50,Y,OH 402,50,"화7,금7",일반과목,N,1,,,,N,TEP(Teacher Education Program) 선수과목 / TEP 희망자 우선 수강,,W28,사회과학
2016,1,글로벌리더십학부,GEK20058,성경의 이해,1,주간,교양선택필수,김기호,2,65,Y,OH 403,66,"화1,금1",성적만P/F나감,N,2,,,,N,"1학년 우선 수강, 열송학사 RC 분반",,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK20058,성경의 이해,2,주간,교양선택필수,김기호,2,65,Y,OH 403,90,"화2,금2",성적만P/F나감,N,2,,,,N,"1학년 우선 수강, 열송학사 RC 분반",,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK20058,성경의 이해,3,주간,교양선택필수,김기호,2,65,Y,OH 403,80,"화3,금3",성적만P/F나감,N,2,,,,N,"1학년 우선 수강, 열송학사 RC 분반",,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK20058,성경의 이해,4,주간,교양선택필수,김완진,2,65,Y,NMH 403,70,"화2,금2",성적만P/F나감,N,2,,,,N,"1학년 우선 수강, 토레이 RC 분반",,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK20058,성경의 이해,5,주간,교양선택필수,김완진,2,65,Y,NMH 403,68,"화3,금3",일반과목,N,2,,,,N,"1학년 우선 수강, 토레이 RC 분반",,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK20058,성경의 이해,6,주간,교양선택필수,김완진,2,65,Y,NMH 403,65,"화4,금4",일반과목,N,2,,,,N,"1학년 우선 수강, 토레이 RC 분반",,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK20063,성경과 삶,3,주간,교양선택필수,이경원,2,65,Y,NMH 404,64,"화2,금2",성적만P/F나감,N,2,,,,N,1학년 우선 수강,,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK20063,성경과 삶,4,주간,교양선택필수,이경원,2,65,Y,NMH 404,34,"화3,금3",성적만P/F나감,N,2,,,,N,1학년 우선 수강,,W34,기독교신앙기초1
2016,1,글로벌리더십학부,GEK30015,현대사회와선교,2,주간,교양선택필수,마민호외 6명,3,150,Y,OH 405,103,화6,일반과목,N,1,,,,N,"온라인, 오프라인 1:1 블렌디드 수업",,W09,세계관2
2016,1,글로벌리더십학부,GEK30030,현대과학과 기술의 철학,1,주간,교양선택필수,손화철,3,80,Y,OH 402,87,"화3,금3",일반과목,Y,1,,,,N,각 학년 20명,,W27,인문학
2016,1,글로벌리더십학부,PST10001,확률 및 통계,1,주간,공통선택,Unconfirmed,3,5,Y, ,0,"화5,목5",일반과목,Y,1,,,,N,연습(목 20:00 ~ 20:50),,,
2016,1,글로벌리더십학부,PST10008,연소와 환경,1,주간,공통선택,Unconfirmed,3,5,Y, ,,"화5,목5",일반과목,N,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10021,화공물리화학II,1,주간,공통선택,Unconfirmed,3,5,Y, ,,"화3,목3",V학점(A+~F성적),N,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10027,전달현상I,1,주간,공통선택,Unconfirmed,3,5,Y, ,,"화5,목5",V학점(A+~F성적),Y,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10029,상평형 및 반응평형,1,주간,공통선택,Unconfirmed,3,5,Y, ,,"화2,목2",V학점(A+~F성적),Y,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10030,고분자구조 및 물성,1,주간,공통선택,Unconfirmed,3,10,Y, ,,"화3,목3",V학점(A+~F성적),Y,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10036,인터렉션 디자인 스튜디오,1,주간,공통선택,Unconfirmed,3,15,Y, ,,"화5,목5",V학점(A+~F성적),Y,1,,,,N,연습(금 08:30 ~ 09:20),,,
2016,1,글로벌리더십학부,PST10037,생명감성&트랜스휴먼스튜디오,1,주간,공통선택,Unconfirmed,3,15,Y, ,,"화4,목4",V학점(A+~F성적),Y,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10039,비지니스모델스튜디오(창의IT특강),1,주간,공통선택,Unconfirmed,3,15,Y, ,0,"화4,목4",V학점(A+~F성적),Y,1,,,,N,"화,목(13:00 ~ 14:40)",,,
2016,1,글로벌리더십학부,PST10040,인문기술융합개론,3,주간,공통선택,,2,10,Y, ,0,"월3,화3",V학점(A+~F성적),N,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10080,나노공학개론,1,주간,공통선택,Unconfirmed,3,5,Y, ,,"화3,목3",일반과목,Y,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10093,생물공학개론,1,주간,공통선택,Unconfirmed,3,5,Y, ,,"화5,목5",일반과목,N,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10094,자료구조 및 알고리즘,1,주간,공통선택,Unconfirmed,3,20,Y, ,,"화3,목3",일반과목,Y,1,,,,N,,,,
2016,1,글로벌리더십학부,PST10095,제어 시스템 이론 및 실험,1,주간,공통선택,Unconfirmed,3,15,Y, ,,"화2,목2",일반과목,Y,1,,,,N,연습(목 18:30 ~ 21:00),,,
2016,1,글로벌리더십학부,PST10107,식물생명공학개론,1,주간,공통선택,Unconfirmed,3,10,Y, ,0,"화6,목6",일반과목,Y,1,,,,N,,,,
