year,semester,subjectCode,num,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course
2016,1,CSW30009,3,50,NMH 207,18,"T1,F1",,,,,,,,,"[13, 49]",CSW30009.3
2016,1,CSW30012,1,60,NMH 207,60,"T5,F5",,,,,,,,,"[17, 53]",CSW30012.1
2016,1,CSW30019,1,40,NMH 107,35,"T5,T6",,,,,,,,,"[17, 18]",CSW30019.1
2016,1,CSW30021,1,40,HDH 320B,19,"T5,F5",,,,,,,,,"[17, 53]",CSW30021.1
2016,1,CSW30026,2,60,NMH 207,16,"T4,F4",,,,,,,,,"[16, 52]",CSW30026.2
2016,1,CSW30056,1,60,HDH 318,46,"T2,F2",,,,,,,,,"[14, 50]",CSW30056.1
2016,1,CSW40010,1,40,OH 305,15,"T5,T6",,,,,,,,,"[17, 18]",CSW40010.1
2016,1,CSW40054,2,0,HDH 320B,,"T8,F8",,,,,,,,,"[20, 56]",CSW40054.2
2016,1,BFT20002,1,130,OH 405,107,"T4,F4",,,,,,,,,"[16, 52]",BFT20002.1
2016,1,BFT30001,1,74,NMH 307,72,"T2,F2",,,,,,,,,"[14, 50]",BFT30001.1
2016,1,BFT30010,2,25,NMH 307,21,"T9,F9",,,,,,,,,"[21, 57]",BFT30010.2
2016,1,BFT30016,1,50,NMH 307,54,"T3,F3",,,,,,,,,"[15, 51]",BFT30016.1
2016,1,BFT30057,1,30,NMH 310,19,"T4,F4",,,,,,,,,"[16, 52]",BFT30057.1
2016,1,BFT30061,1,30,ANH 313,15,"T6,T7",,,,,,,,,"[18, 19]",BFT30061.1
2016,1,BFT40005,2,20,NMH 410A,15,"T9,F9",,,,,,,,,"[21, 57]",BFT40005.2
2016,1,BFT40013,1,50,NMH 310,29,"T5,F5",,,,,,,,,"[17, 53]",BFT40013.1
2016,1,BFT40052,1,40,NMH 307,33,"T8,F8",,,,,,,,,"[20, 56]",BFT40052.1
2016,1,BFT40055,1,30,NMH 310,17,"M10,T10,Th10,F10",,,,,,,,,"[10, 22, 46, 58]",BFT40055.1
2016,1,ECE20010,2,60,OH 401,83,"T3,F3",,,,,,,,,"[15, 51]",ECE20010.2
2016,1,ECE20051,3,60,ANH 313,53,"T2,F2",,,,,,,,,"[14, 50]",ECE20051.3
2016,1,ECE20060,1,40,NTH 417,40,"T7,T8",,,,,,,,,"[19, 20]",ECE20060.1
2016,1,ECE30021,1,50,NTH 313,74,"T5,F5",,,,,,,,,"[17, 53]",ECE30021.1
2016,1,ECE30021,2,40,NTH 311,41,"T6,F6",,,,,,,,,"[18, 54]",ECE30021.2
2016,1,ECE30030,1,40,ANH 313,48,"T5,F5",,,,,,,,,"[17, 53]",ECE30030.1
2016,1,ECE30051,1,40,NTH 310,41,"T2,F2",,,,,,,,,"[14, 50]",ECE30051.1
2016,1,ECE30063,1,40,NTH 311,23,"T4,F4",,,,,,,,,"[16, 52]",ECE30063.1
2016,1,ECE30092,1,0,NTH 310,33,"W4,F7",,,,,,,,,"[28, 55]",ECE30092.1
2016,1,ECE40012,1,20,NTH 311,37,"T3,F3",,,,,,,,,"[15, 51]",ECE40012.1
2016,1,ECE40047,1,20,NTH 414,18,"T2,F2",,,,,,,,,"[14, 50]",ECE40047.1
2016,1,ECE40061,1,40,NTH 310,11,"T5,F5",,,,,,,,,"[17, 53]",ECE40061.1
2016,1,ECE40093,1,0,NTH 412,23,"W8,F7",,,,,,,,,"[32, 55]",ECE40093.1
